"claim_id,policy_id,claim_date,claim_amount,claim_status,service_provider,fraud_flag"
"CL5001,P1001,2024-01-11,1200,Approved,ABC Garage,N"
"CL5002,P1002,2024-03-05,5400,Approved,Apollo Hospital,N"
"CL5003,P1003,2023-10-22,3200,Rejected,HomeFix Services,N"
"CL5004,P1004,2024-02-17,15000,Pending,LifeCare Clinic,N"
"CL5005,P1005,2024-01-30,2100,Approved,AutoPro Garage,N"
"CL5006,P1006,2023-12-11,6400,Approved,City Hospital,N"
"CL5007,P1007,2024-04-09,2800,Pending,FixIt Home,N"
"CL5008,P1008,2024-02-25,1900,Approved,QuickFix Garage,N"
"CL5009,P1009,2023-11-15,22000,Approved,LifeSecure Clinic,N"
"CL5010,P1010,2024-03-01,7800,Pending,Sunrise Hospital,N"
"CL5011,P1011,2024-01-12,1700,Approved,Speed Garage,N"
"CL5012,P1012,2023-09-14,4500,Rejected,Metro Hospital,N"
"CL5013,P1013,2024-03-21,21000,Approved,LifeCare Clinic,N"
"CL5014,P1014,2024-02-19,3100,Approved,HomeSecure,N"
"CL5015,P1015,2024-01-03,2400,Pending,AutoFix Garage,N"
"CL5016,P1016,2024-03-17,6800,Approved,HealthPlus,N"
"CL5017,P1017,2023-12-28,1600,Rejected,AutoPro Garage,Y"
"CL5018,P1018,2024-01-29,19500,Approved,LifeSecure Clinic,N"
"CL5019,P1019,2024-03-12,3400,Approved,HomeFix Services,N"
"CL5020,P1020,2024-02-08,8200,Pending,Sunrise Hospital,N"
